"전출지별","전입지별",2021. 03,2021. 03,2021. 04,2021. 04,2021. 05,2021. 05
"전출지별","전입지별",이동자수 (명),순이동자수 (명),이동자수 (명),순이동자수 (명),이동자수 (명),순이동자수 (명)
"세종특별자치시","대구광역시",37,-42,27,-26,22,-21
"세종특별자치시","인천광역시",81,-19,43,-46,47,-20
"세종특별자치시","광주광역시",34,-49,32,-10,29,-6
"세종특별자치시","대전광역시",701,-505,454,-396,483,-311
"세종특별자치시","울산광역시",15,-1,10,-18,8,-12
"세종특별자치시","세종특별자치시",2214,0,1894,0,1696,0
"세종특별자치시","경기도",536,-56,331,-112,381,-28
"세종특별자치시","강원도",64,4,47,4,52,0
"세종특별자치시","충청북도",399,-51,344,32,330,66
"세종특별자치시","충청남도",462,-90,438,28,375,8
"세종특별자치시","전라북도",98,-49,49,-57,86,1
"세종특별자치시","전라남도",48,-25,31,-19,43,-4
"세종특별자치시","경상북도",72,-5,51,-19,45,-24
"세종특별자치시","경상남도",61,-29,48,-13,46,-4
"세종특별자치시","제주특별자치도",27,-1,22,-11,17,3
"경기도","전국",196741,-15135,159297,-12600,146073,-9322
"경기도","서울특별시",25482,-11767,19331,-10508,18756,-8701
"경기도","부산광역시",1220,-635,857,-537,832,-374
"경기도","대구광역시",926,-522,628,-395,594,-341
"경기도","인천광역시",6532,-467,5415,-315,5260,-63
"경기도","광주광역시",692,-369,529,-297,544,-135
"경기도","대전광역시",1418,-332,1067,-255,895,-122
"경기도","울산광역시",380,-361,319,-191,280,-169
"경기도","세종특별자치시",592,56,443,112,409,28
"경기도","경기도",142769,0,117640,0,106052,0
"경기도","강원도",3066,147,2538,268,2378,412
"경기도","충청북도",2325,-21,1920,176,1814,265
"경기도","충청남도",3940,170,3065,102,3028,387
"경기도","전라북도",1546,-229,1194,-174,1165,-11
"경기도","전라남도",1325,-225,1168,-40,1068,-22
"경기도","경상북도",2066,-174,1360,-289,1300,-204
"경기도","경상남도",1436,-586,1049,-440,936,-417
"경기도","제주특별자치도",1026,180,774,183,762,145
"강원도","전국",20872,61,17287,-540,15717,-892
"강원도","서울특별시",2238,153,1522,-253,1355,-190
"강원도","부산광역시",174,-40,159,-8,112,-54
"강원도","대구광역시",168,-51,114,-16,96,-30
"강원도","인천광역시",485,-73,371,-120,320,-100
"강원도","광주광역시",78,-21,57,9,27,-31
"강원도","대전광역시",228,36,235,52,127,-7
"강원도","울산광역시",70,-23,48,-21,54,-9
"강원도","세종특별자치시",60,-4,43,-4,52,0
"강원도","경기도",2919,-147,2270,-268,1966,-412
"강원도","강원도",12616,0,11109,0,10459,0
"강원도","충청북도",456,24,411,67,330,47
"강원도","충청남도",409,126,225,16,218,13
"강원도","전라북도",119,-3,101,-8,97,5
"강원도","전라남도",140,5,101,-1,73,-29
"강원도","경상북도",388,60,275,26,214,-49
"강원도","경상남도",236,-7,190,-6,157,-59
"강원도","제주특별자치도",88,26,56,-5,60,13
"충청북도","전국",20853,201,17260,-882,15283,-954
"충청북도","서울특별시",1646,312,1010,-89,927,-163
"충청북도","부산광역시",178,-25,115,-37,111,-50
"충청북도","대구광역시",171,-59,107,-68,112,-54
"충청북도","인천광역시",337,-93,235,-127,266,-120
"충청북도","광주광역시",74,-15,69,-3,56,-29
"충청북도","대전광역시",874,29,633,-76,561,-99
"충청북도","울산광역시",77,-33,55,-25,43,-41
"충청북도","세종특별자치시",450,51,312,-32,264,-66
"충청북도","경기도",2346,21,1744,-176,1549,-265
"충청북도","강원도",432,-24,344,-67,283,-47
"충청북도","충청북도",12437,0,11381,0,9850,0
"충청북도","충청남도",703,5,500,-6,500,66
"충청북도","전라북도",236,13,140,-36,149,-8
"충청북도","전라남도",116,-11,100,-26,105,5
"충청북도","경상북도",491,91,307,-76,314,-39
"충청북도","경상남도",205,-51,144,-52,130,-46
"충청북도","제주특별자치도",80,-10,64,14,63,2
"충청남도","전국",28040,-1190,22133,-1180,20300,-1253
"충청남도","서울특별시",2283,132,1495,-142,1246,-282
"충청남도","부산광역시",238,-122,174,-62,138,-76
"충청남도","대구광역시",188,-89,153,-68,116,-47
"충청남도","인천광역시",690,-182,538,-225,473,-146
"충청남도","광주광역시",144,-63,131,-29,85,-47
"충청남도","대전광역시",1428,-204,1039,-133,1032,-4
"충청남도","울산광역시",77,-136,65,-54,93,-40
"충청남도","세종특별자치시",552,90,410,-28,367,-8
"충청남도","경기도",3770,-170,2963,-102,2641,-387
"충청남도","강원도",283,-126,209,-16,205,-13
"충청남도","충청북도",698,-5,506,6,434,-66
"충청남도","충청남도",15992,0,13312,0,12272,0
"충청남도","전라북도",575,-90,418,-81,416,41
"충청남도","전라남도",285,-73,184,-58,218,-57
"충청남도","경상북도",419,-39,243,-64,252,-59
"충청남도","경상남도",311,-103,228,-96,220,-71
"충청남도","제주특별자치도",107,-10,65,-28,92,9
"전라북도","전국",22727,797,17747,519,16136,-260
"전라북도","서울특별시",1710,408,1118,109,902,-12
"전라북도","부산광역시",152,-4,82,-28,92,-18
"전라북도","대구광역시",75,-13,57,-7,57,-13
"전라북도","인천광역시",362,21,231,6,199,-45
"전라북도","광주광역시",599,23,498,122,374,-34
"전라북도","대전광역시",436,57,278,12,288,-10
"전라북도","울산광역시",62,1,52,8,44,-2
"전라북도","세종특별자치시",147,49,106,57,85,-1
"전라북도","경기도",1775,229,1368,174,1176,11
"전라북도","강원도",122,3,109,8,92,-5
"전라북도","충청북도",223,-13,176,36,157,8
"전라북도","충청남도",665,90,499,81,375,-41
"전라북도","전라북도",15340,0,12439,0,11658,0
"전라북도","전라남도",541,-21,400,-36,343,-72
"전라북도","경상북도",192,24,120,9,89,-30
"전라북도","경상남도",215,-31,148,-10,132,-9
"전라북도","제주특별자치도",111,-26,66,-22,73,13
"전라남도","전국",23903,510,17898,-232,16325,10
"전라남도","서울특별시",1450,303,920,-25,808,-25
"전라남도","부산광역시",281,-75,242,8,196,-33
"전라남도","대구광역시",99,-30,63,-34,62,-13
"전라남도","인천광역시",343,-14,237,-35,214,-37
"전라남도","광주광역시",3388,7,2419,-275,2256,7
"전라남도","대전광역시",212,5,147,12,128,2
"전라남도","울산광역시",87,-13,56,-30,62,5
"전라남도","세종특별자치시",73,25,50,19,47,4
"전라남도","경기도",1550,225,1208,40,1090,22
"전라남도","강원도",135,-5,102,1,102,29
"전라남도","충청북도",127,11,126,26,100,-5
"전라남도","충청남도",358,73,242,58,275,57
"전라남도","전라북도",562,21,436,36,415,72
"전라남도","전라남도",14448,0,11097,0,10096,0
"전라남도","경상북도",239,65,169,22,120,24
"전라남도","경상남도",418,-87,308,-43,266,-88
"전라남도","제주특별자치도",133,-1,76,-12,88,-11
"경상북도","전국",32948,-1439,25653,-1133,23151,-1327
"경상북도","서울특별시",1931,348,1218,272,1099,193
"경상북도","부산광역시",1075,-74,665,-168,588,-143
"경상북도","대구광역시",4003,-844,3051,-1124,2731,-1315
"경상북도","인천광역시",386,-11,246,-43,241,-16
"경상북도","광주광역시",85,-14,57,1,33,-37
"경상북도","대전광역시",393,12,260,45,248,52
"경상북도","울산광역시",597,-604,509,-452,536,-313
"경상북도","세종특별자치시",77,5,70,19,69,24
"경상북도","경기도",2240,174,1649,289,1504,204
"경상북도","강원도",328,-60,249,-26,263,49
"경상북도","충청북도",400,-91,383,76,353,39
"경상북도","충청남도",458,39,307,64,311,59
"경상북도","전라북도",168,-24,111,-9,119,30
"경상북도","전라남도",174,-65,147,-22,96,-24
"경상북도","경상북도",19615,0,15958,0,14308,0
"경상북도","경상남도",910,-198,677,-57,580,-124
"경상북도","제주특별자치도",108,-32,96,2,72,-5
"경상남도","전국",40168,1556,30937,348,28904,687
"경상남도","서울특별시",2186,938,1211,341,1133,299
"경상남도","부산광역시",5059,-257,3716,-596,3595,-292
"경상남도","대구광역시",792,-95,621,-43,534,-27
"경상남도","인천광역시",372,84,270,3,230,29
"경상남도","광주광역시",139,6,74,-10,90,-1
"경상남도","대전광역시",304,99,227,54,181,51
"경상남도","울산광역시",674,-321,511,-170,469,-193
"경상남도","세종특별자치시",90,29,61,13,50,4
"경상남도","경기도",2022,586,1489,440,1353,417
"경상남도","강원도",243,7,196,6,216,59
"경상남도","충청북도",256,51,196,52,176,46
"경상남도","충청남도",414,103,324,96,291,71
"경상남도","전라북도",246,31,158,10,141,9
"경상남도","전라남도",505,87,351,43,354,88
"경상남도","경상북도",1108,198,734,57,704,124
"경상남도","경상남도",25555,0,20614,0,19249,0
"경상남도","제주특별자치도",203,10,184,52,138,3
"제주특별자치도","전국",9193,-250,6909,-536,6404,-428
"제주특별자치도","서울특별시",948,24,624,-114,595,-68
"제주특별자치도","부산광역시",243,-18,155,-79,158,-38
"제주특별자치도","대구광역시",97,-37,81,-36,83,-25
"제주특별자치도","인천광역시",178,-45,124,-65,97,-91
"제주특별자치도","광주광역시",74,-17,50,-27,54,-13
"제주특별자치도","대전광역시",74,-27,62,-25,49,-16
"제주특별자치도","울산광역시",58,6,35,-17,49,-5
"제주특별자치도","세종특별자치시",28,1,33,11,14,-3
"제주특별자치도","경기도",846,-180,591,-183,617,-145
"제주특별자치도","강원도",62,-26,61,5,47,-13
"제주특별자치도","충청북도",90,10,50,-14,61,-2
"제주특별자치도","충청남도",117,10,93,28,83,-9
"제주특별자치도","전라북도",137,26,88,22,60,-13
"제주특별자치도","전라남도",134,1,88,12,99,11
"제주특별자치도","경상북도",140,32,94,-2,77,5
"제주특별자치도","경상남도",193,-10,132,-52,135,-3
"제주특별자치도","제주특별자치도",5774,0,4548,0,4126,0
